연번,시,구,동,도로명,시도청,경찰서,관서명,구분,전화번호,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,기준주소
1027,강원특별자치도,평창군,진부면,청송로 103,강원청,평창,진부,파출소,033-339-5275,강원도 평창군 진부면 청송로 103,강원도 평창군 진부면 청송로 103,337433.0,460542.0,정좌표,51760360211014318,새주소,강원특별자치도 평창군 진부면 청송로 103,강원특별자치도 평창군 진부면 하진부리 143-1,253250,51760360000,진부면,51760360210,진부면 하진부리,강원특별자치도 평창군 진부면 청송로 103
1028,강원특별자치도,평창군,대관령면,,강원청,평창,대관령,파출소,033-339-5284,강원도 평창군 대관령면 대관령로 대관령로 95,강원도 평창군 대관령면 대관령로 대관령로 95,350453.0,464836.0,법정동 좌표,517600,판별불가,,강원특별자치도 평창군 대관령면,,51760380000,대관령면,51760380000,대관령면,강원특별자치도 평창군 대관령면
1029,강원특별자치도,횡성군,횡성읍,횡성로 389,강원청,횡성,횡성,지구대,033-340-7415,강원도 횡성군 횡성읍 횡성로 389 ,강원도 횡성군 횡성읍 횡성로 389 ,287055.0,443312.0,정좌표,51730250221011918,새주소,강원특별자치도 횡성군 횡성읍 횡성로 389,강원특별자치도 횡성군 횡성읍 읍하리 119-3,252340,51730250000,횡성읍,51730250220,횡성읍 읍하리,강원특별자치도 횡성군 횡성읍 횡성로 389
1030,강원특별자치도,횡성군,둔내면,둔내로 33,강원청,횡성,둔내,파출소,033-340-7421,강원도 횡성군 둔내면 둔내로 33,강원도 횡성군 둔내면 둔내로 33,307294.0,446323.0,정좌표,51730330221008418,새주소,강원특별자치도 횡성군 둔내면 둔내로 33,강원특별자치도 횡성군 둔내면 둔방내리 84-5,252650,51730330000,둔내면,51730330220,둔내면 둔방내리,강원특별자치도 횡성군 둔내면 둔내로 33
1031,강원특별자치도,횡성군,우천면,수남로 390,강원청,횡성,우천,파출소,033-340-7431,강원도 횡성군 우천면 수남로 390,강원도 횡성군 우천면 수남로 390,294370.0,439980.0,정좌표,51730310311054518,새주소,강원특별자치도 횡성군 우천면 수남로 390,강원특별자치도 횡성군 우천면 우항리 545,252480,51730310000,우천면,51730310310,우천면 우항리,강원특별자치도 횡성군 우천면 수남로 390
1032,강원특별자치도,횡성군,안흥면,안흥로 41,강원청,횡성,안흥,파출소,033-340-7441,강원도 횡성군 안흥면 안흥로 41,강원도 횡성군 안흥면 안흥로 41,302399.0,435191.0,정좌표,51730320211028318,새주소,강원특별자치도 횡성군 안흥면 안흥로 41,강원특별자치도 횡성군 안흥면 안흥리 283-1,252710,51730320000,안흥면,51730320210,안흥면 안흥리,강원특별자치도 횡성군 안흥면 안흥로 41
1033,강원특별자치도,횡성군,청일면,청정로 825,강원청,횡성,청일,파출소,033-340-7451,강원도 횡성군 청일면 청정로 825,강원도 횡성군 청일면 청정로 825,301421.0,454018.0,정좌표,51730350241104318,새주소,강원특별자치도 횡성군 청일면 청정로 825,강원특별자치도 횡성군 청일면 유동리 1043-1,252540,51730350000,청일면,51730350240,청일면 유동리,강원특별자치도 횡성군 청일면 청정로 825
1034,강원특별자치도,횡성군,서원면,서원로 143,강원청,횡성,서원,파출소,033-340-7461,강원도 횡성군 서원면 서원로  143,강원도 횡성군 서원면 서원로  143,274992.0,443080.0,정좌표,51730370211058818,새주소,강원특별자치도 횡성군 서원면 서원로 143,강원특별자치도 횡성군 서원면 창촌리 588-1,252010,51730370000,서원면,51730370210,서원면 창촌리,강원특별자치도 횡성군 서원면 서원로 143
1035,강원특별자치도,고성군,간성읍,간성로 104,강원청,고성,간성,파출소,033-682-0112,강원도 고성군 간성읍 간성로 104,강원도 고성군 간성읍 간성로 104,327908.0,543011.0,정좌표,5182025025101818,새주소,강원특별자치도 고성군 간성읍 간성로 104,강원특별자치도 고성군 간성읍 상리 180,247300,51820250000,간성읍,51820250250,간성읍 상리,강원특별자치도 고성군 간성읍 간성로 104
1036,강원특별자치도,고성군,토성면,토성로 165,강원청,고성,토성,파출소,033-632-0113,강원도 고성군 토성면 토성로 165,강원도 고성군 토성면 토성로 165,336205.0,529578.0,정좌표,5182033021101418,새주소,강원특별자치도 고성군 토성면 토성로 165,강원특별자치도 고성군 토성면 천진리 140,247640,51820330000,토성면,51820330210,토성면 천진리,강원특별자치도 고성군 토성면 토성로 165
1037,강원특별자치도,고성군,죽왕면,심층수길 15,강원청,고성,죽왕,파출소,033-632-6112,강원도 고성군 죽왕면 심층수길 15,강원도 고성군 죽왕면 심층수길 15,333400.0,536969.0,정좌표,51820320211006418,새주소,강원특별자치도 고성군 죽왕면 심층수길 15,강원특별자치도 고성군 죽왕면 오호리 64-11,247470,51820320000,죽왕면,51820320210,죽왕면 오호리,강원특별자치도 고성군 죽왕면 심층수길 15
1038,강원특별자치도,고성군,거진읍,거진길 67,강원청,고성,금강,파출소,033-682-2112,강원도 고성군 거진읍 거진길 67,강원도 고성군 거진읍 거진길 67,327133.0,550565.0,정좌표,5182025321101618,새주소,강원특별자치도 고성군 거진읍 거진길 67,강원특별자치도 고성군 거진읍 거진리 160-2,247110,51820253000,거진읍,51820253210,거진읍 거진리,강원특별자치도 고성군 거진읍 거진길 67
1039,강원특별자치도,인제군,인제읍,인제로178번길 52-6,강원청,인제,상동,파출소,033-463-2112,강원도 인제군 인제읍 인제로 178번길 52-6,강원도 인제군 인제읍 인제로 178번길 52-6,302878.0,507477.0,정좌표,51810250211042718,새주소,강원특별자치도 인제군 인제읍 인제로178번길 52-6,강원특별자치도 인제군 인제읍 상동리 427-3,246340,51810250000,인제읍,51810250210,인제읍 상동리,강원특별자치도 인제군 인제읍 인제로178번길 52-6
1040,강원특별자치도,인제군,남면,신남로 49,강원청,인제,남면,파출소,033-461-6112,강원도 인제군 남면 신남로 49 남면파출소,강원도 인제군 남면 신남로 49 남면파출소,294751.0,496637.0,정좌표,518103102110368118,새주소,강원특별자치도 인제군 남면 신남로 49,강원특별자치도 인제군 남면 신남리 368-1,246480,51810310000,남면,51810310210,남면 신남리,강원특별자치도 인제군 남면 신남로 49
1041,강원특별자치도,인제군,기린면,기린로 32,강원청,인제,기린,파출소,033-461-5112,강원도 인제군 기린면 기린로 32,강원도 인제군 기린면 기린로 32,315801.0,495472.0,정좌표,51810330211039318,새주소,강원특별자치도 인제군 기린면 기린로 32,강원특별자치도 인제군 기린면 현리 393-1,246590,51810330000,기린면,51810330210,기린면 현리,강원특별자치도 인제군 기린면 기린로 32
1042,강원특별자치도,인제군,북면,원통로 278,강원청,인제,북면,파출소,033-461-3112,강원도 인제군 북면 원통로 278 북면파출소,강원도 인제군 북면 원통로 278 북면파출소,306360.0,514419.0,정좌표,51810320211168518,새주소,강원특별자치도 인제군 북면 원통로 278,강원특별자치도 인제군 북면 원통리 1685-10,246150,51810320000,북면,51810320210,북면 원통리,강원특별자치도 인제군 북면 원통로 278
1043,강원특별자치도,인제군,서화면,천도로81번길 28,강원청,인제,서화,파출소,033-462-4112,강원도 인제군 서화면 천도로81번길 28,강원도 인제군 서화면 천도로81번길 28,305676.0,524971.0,정좌표,5181034021105918,새주소,강원특별자치도 인제군 서화면 천도로81번길 28,강원특별자치도 인제군 서화면 천도리 590-5,246030,51810340000,서화면,51810340210,서화면 천도리,강원특별자치도 인제군 서화면 천도로81번길 28
1044,강원특별자치도,철원군,동송읍,금학로 169-8,강원청,철원,동송,지구대,033-455-2112,강원도 철원군 동송읍 금학로 169-8  동송지구대,강원도 철원군 동송읍 금학로 169-8  동송지구대,219195.0,522376.0,정좌표,5178025921107118,새주소,강원특별자치도 철원군 동송읍 금학로 169-8,강원특별자치도 철원군 동송읍 이평리 710-4,240200,51780259000,동송읍,51780259210,동송읍 이평리,강원특별자치도 철원군 동송읍 금학로 169-8
1045,강원특별자치도,철원군,갈말읍,명성로174번길 51,강원청,철원,갈말,파출소,033-452-3117,강원도 철원군 갈말읍 명성로174번길 51,강원도 철원군 갈말읍 명성로174번길 51,227406.0,516213.0,정좌표,51780256211056318,새주소,강원특별자치도 철원군 갈말읍 명성로174번길 51,강원특별자치도 철원군 갈말읍 신철원리 563-62,240390,51780256000,갈말읍,51780256210,갈말읍 신철원리,강원특별자치도 철원군 갈말읍 명성로174번길 51
1046,강원특별자치도,철원군,서면,와수로 232,강원청,철원,김화,파출소,033-458-3333,강원도 철원군 서면 와수로 232 김화파출소,강원도 철원군 서면 와수로 232 김화파출소,238759.0,526716.0,정좌표,51780310221089518,새주소,강원특별자치도 철원군 서면 와수로 232,강원특별자치도 철원군 서면 와수리 895-4,240580,51780310000,서면,51780310220,서면 와수리,강원특별자치도 철원군 서면 와수로 232
1047,강원특별자치도,화천군,간동면,파로호로 1144,강원청,화천,간동,파출소,033-442-5112,강원도 화천군 간동면 파로호로 1144 간동파출소,강원도 화천군 간동면 파로호로 1144 간동파출소,271265.0,506055.0,정좌표,51790310241000218,새주소,강원특별자치도 화천군 간동면 파로호로 1144,강원특별자치도 화천군 간동면 오음리 2-53,241370,51790310000,간동면,51790310240,간동면 오음리,강원특별자치도 화천군 간동면 파로호로 1144
1048,강원특별자치도,화천군,상서면,다파로 1625,강원청,화천,상서,파출소,033-441-6112,강원도 화천군 상서면 다파로 1625 상서파출소,강원도 화천군 상서면 다파로 1625 상서파출소,257382.0,517330.0,정좌표,51790330251014718,새주소,강원특별자치도 화천군 상서면 다파로 1625,강원특별자치도 화천군 상서면 파포리 147-1,241060,51790330000,상서면,51790330250,상서면 파포리,강원특별자치도 화천군 상서면 다파로 1625
1049,강원특별자치도,화천군,화천읍,중앙로6길 40,강원청,화천,하리,파출소,033-442-3112,강원도 화천군 화천읍 중앙로6길 40 하리파출소,강원도 화천군 화천읍 중앙로6길 40 하리파출소,261765.0,511336.0,정좌표,51790250221005318,새주소,강원특별자치도 화천군 화천읍 중앙로6길 40,강원특별자치도 화천군 화천읍 하리 53-44,241280,51790250000,화천읍,51790250220,화천읍 하리,강원특별자치도 화천군 화천읍 중앙로6길 40
1050,강원특별자치도,화천군,하남면,원천새싹길 8,강원청,화천,하남,파출소,033-441-2112,강원도 화천군 하남면 원천새싹길 8 하남파출소,강원도 화천군 하남면 원천새싹길 8 하남파출소,258499.0,506424.0,정좌표,51790320211044518,새주소,강원특별자치도 화천군 하남면 원천새싹길 8,강원특별자치도 화천군 하남면 원천리 445-3,241450,51790320000,하남면,51790320210,하남면 원천리,강원특별자치도 화천군 하남면 원천새싹길 8
1051,강원특별자치도,화천군,사내면,포화로 1156,강원청,화천,사내,파출소,033-441-4112,강원도 화천군 사내면 포화로 1156 사내파출소,강원도 화천군 사내면 포화로 1156 사내파출소,245789.0,507596.0,정좌표,51790340211038518,새주소,강원특별자치도 화천군 사내면 포화로 1156,강원특별자치도 화천군 사내면 사창리 385-5,241570,51790340000,사내면,51790340210,사내면 사창리,강원특별자치도 화천군 사내면 포화로 1156
1052,강원특별자치도,양구군,양구읍,택지길 74-45,강원청,양구,상리,파출소,033-481-3112,강원도 양구군 양구읍 택지길 74-45 ,강원도 양구군 양구읍 택지길 74-45 ,286428.0,511836.0,정좌표,51800250211053718,새주소,강원특별자치도 양구군 양구읍 택지길 74-45,강원특별자치도 양구군 양구읍 상리 537-6,245300,51800250000,양구읍,51800250210,양구읍 상리,강원특별자치도 양구군 양구읍 택지길 74-45
1053,강원특별자치도,양구군,국토정중앙면,삼팔선로 10-3,강원청,양구,국토정중앙,파출소,033-482-4113,강원도 양구군 국토정중앙면 삼팔선로 10-3,강원도 양구군 국토정중앙면 삼팔선로 10-3,290633.0,512195.0,정좌표,51800315241041418,새주소,강원특별자치도 양구군 국토정중앙면 삼팔선로 10-3,강원특별자치도 양구군 국토정중앙면 용하리 414-12,245540,51800315000,국토정중앙면,51800315240,국토정중앙면 용하리,강원특별자치도 양구군 국토정중앙면 삼팔선로 10-3
1054,강원특별자치도,양구군,동면,금강산로 1685,강원청,양구,동면,파출소,033-482-7112,강원도 양구군 동면 금강산로 1685,강원도 양구군 동면 금강산로 1685,291354.0,522584.0,정좌표,51800320251058418,새주소,강원특별자치도 양구군 동면 금강산로 1685,강원특별자치도 양구군 동면 임당리 584-2,245070,51800320000,동면,51800320250,동면 임당리,강원특별자치도 양구군 동면 금강산로 1685
1055,강원특별자치도,양구군,방산면,평화로 5192,강원청,양구,방산,파출소,033-481-5112,강원도 양구군 방산면 평화로 5192,강원도 양구군 방산면 평화로 5192,283337.0,523174.0,정좌표,51800330241034418,새주소,강원특별자치도 양구군 방산면 평화로 5192,강원특별자치도 양구군 방산면 장평리 344-3,245020,51800330000,방산면,51800330240,방산면 장평리,강원특별자치도 양구군 방산면 평화로 5192
1056,강원특별자치도,양구군,해안면,펀치볼로 1313,강원청,양구,해안,파출소,033-481-0712,강원도 양구군 해안면 펀치볼로 1313 ,강원도 양구군 해안면 펀치볼로 1313 ,299445.0,532011.0,정좌표,5180034021101618,새주소,강원특별자치도 양구군 해안면 펀치볼로 1313,강원특별자치도 양구군 해안면 현리 160-4,245630,51800340000,해안면,51800340210,해안면 현리,강원특별자치도 양구군 해안면 펀치볼로 1313
1057,충청북도,청주시,흥덕구,진재로 16,충북청,청주흥덕,복대,지구대,043-270-3702,충청북도 청주시 흥덕구  진재로 16 복대지구대,충청북도 청주시 흥덕구  진재로 16 복대지구대,238396.0,348010.0,정좌표,43113114001301918,새주소,충청북도 청주시 흥덕구 진재로 16,충청북도 청주시 흥덕구 복대동 3019,284200,43113741000,복대1동,43113114000,복대동,충청북도 청주시 흥덕구 진재로 16
1058,충청북도,청주시,흥덕구,가로수로 1158,충북청,청주흥덕,강서,지구대,043-270-3703,충청북도 청주시 흥덕구  가로수로 1158 ,충청북도 청주시 흥덕구  가로수로 1158 ,237974.0,347344.0,정좌표,43113117001003418,새주소,충청북도 청주시 흥덕구 가로수로 1158,충청북도 청주시 흥덕구 강서동 34-1,283760,43113760000,강서1동,43113117000,강서동,충청북도 청주시 흥덕구 가로수로 1158
1059,충청북도,청주시,흥덕구,송절로64번길 13,충북청,청주흥덕,봉명,지구대,043-270-3705,충청북도 청주시 흥덕구 송절로 64번길 13,충청북도 청주시 흥덕구 송절로 64번길 13,240735.0,350868.0,정좌표,43113115001229618,새주소,충청북도 청주시 흥덕구 송절로64번길 13,충청북도 청주시 흥덕구 봉명동 2296-6,284620,43113756000,봉명2.송정동,43113115000,봉명동,충청북도 청주시 흥덕구 송절로64번길 13
1060,충청북도,청주시,흥덕구,옥산면 청주역로 662,충북청,청주흥덕,옥산,파출소,043-270-3708,충청북도 청주시 흥덕구 옥산면 청주역로 662 옥산파출소,충청북도 청주시 흥덕구 옥산면 청주역로 662 옥산파출소,233311.0,351712.0,정좌표,43113320251076418,새주소,충청북도 청주시 흥덕구 옥산면 청주역로 662,충청북도 청주시 흥덕구 옥산면 가락리 764-47,281130,43113320000,옥산면,43113320250,옥산면 가락리,충청북도 청주시 흥덕구 옥산면 청주역로 662
"1061	충북청	청주흥덕	오송	파출소	043-270-3707	 충청북도 봉산1길 9, 오송파출소 	충청북도 봉산1길 9, 오송파출소 	243886	348355	광역시 좌표		판별불가		충청북도	NULL				",,,,,,,,,,,,,,,,,,,,,,,,
1062,충청북도,청주시,흥덕구,강내면 가로수로 566,충북청,청주흥덕,강내,파출소,043-270-3704,충청북도 청주시 흥덕구 강내면 가로수로 566 강내파출소,충청북도 청주시 흥덕구 강내면 가로수로 566 강내파출소,232382.0,347030.0,정좌표,43113310311015618,새주소,충청북도 청주시 흥덕구 강내면 가로수로 566,충청북도 청주시 흥덕구 강내면 탑연리 156-1,281720,43113310000,강내면,43113310310,강내면 탑연리,충청북도 청주시 흥덕구 강내면 가로수로 566
1063,충청북도,청주시,서원구,남이면 청남로 1205,충북청,청주흥덕,남이,파출소,043-270-3709,충청북도 청주시 서원구 남이면 청남로 1205 남이파출소,충청북도 청주시 서원구 남이면 청남로 1205 남이파출소,238734.0,339905.0,정좌표,43112310221006318,새주소,충청북도 청주시 서원구 남이면 청남로 1205,충청북도 청주시 서원구 남이면 외천리 63-1,281820,43112310000,남이면,43112310220,남이면 외천리,충청북도 청주시 서원구 남이면 청남로 1205
1064,충청북도,청주시,서원구,현도면 청남로 358,충북청,청주흥덕,현도,파출소,043-270-3710,충청북도 청주시 서원구 현도면 청남로 358 현도파출소,충청북도 청주시 서원구 현도면 청남로 358 현도파출소,237937.0,331836.0,정좌표,43112320261049918,새주소,충청북도 청주시 서원구 현도면 청남로 358,충청북도 청주시 서원구 현도면 선동리 499-2,282150,43112320000,현도면,43112320260,현도면 선동리,충청북도 청주시 서원구 현도면 청남로 358
1065,충청북도,청주시,상당구,용암북로160번길 7,충북청,청주상당,용암,지구대,043-280-1701,충청북도 청주시 상당구  용암북로160번길 7 용암지구대,충청북도 청주시 상당구  용암북로160번길 7 용암지구대,245993.0,346949.0,정좌표,43111124001266318,새주소,충청북도 청주시 상당구 용암북로160번길 7,충청북도 청주시 상당구 용암동 2663,287620,43111720000,용암1동,43111124000,용암동,충청북도 청주시 상당구 용암북로160번길 7
1066,충청북도,청주시,서원구,분평로 37,충북청,청주상당,분평,지구대,043-280-1703,충청북도 청주시 서원구  분평로 37 분평지구대,충청북도 청주시 서원구  분평로 37 분평지구대,243716.0,345403.0,정좌표,43112106001125418,새주소,충청북도 청주시 서원구 분평로 37,충청북도 청주시 서원구 분평동 1254,287960,43112560000,분평동,43112106000,분평동,충청북도 청주시 서원구 분평로 37
1067,충청북도,청주시,상당구,상당로 94,충북청,청주상당,성안,지구대,043-280-1711,충청북도 청주시 상당구  상당로 94 성안지구대,충청북도 청주시 상당구  상당로 94 성안지구대,243839.0,348484.0,정좌표,43111107001008918,새주소,충청북도 청주시 상당구 상당로 94,충청북도 청주시 상당구 문화동 89-6,285150,43111545000,성안동,43111107000,문화동,충청북도 청주시 상당구 상당로 94
1068,충청북도,청주시,상당구,미원면 미원시내2길 43,충북청,청주상당,미원,파출소,043-280-1708,충청북도 청주시 상당구 미원면 미원시내2길 43 ,충청북도 청주시 상당구 미원면 미원시내2길 43 ,258501.0,348349.0,정좌표,43111320211053618,새주소,충청북도 청주시 상당구 미원면 미원시내2길 43,충청북도 청주시 상당구 미원면 미원리 536-1,281990,43111320000,미원면,43111320210,미원면 미원리,충청북도 청주시 상당구 미원면 미원시내2길 43
1069,충청북도,청주시,상당구,남일면 단재로 657,충북청,청주상당,남일,파출소,043-280-1706,충청북도 청주시 상당구 남일면 단재로 657 ,충청북도 청주시 상당구 남일면 단재로 657 ,245751.0,341414.0,정좌표,4311134028105518,새주소,충청북도 청주시 상당구 남일면 단재로 657,충청북도 청주시 상당구 남일면 고은리 550-1,281900,43111340000,남일면,43111340280,남일면 고은리,충청북도 청주시 상당구 남일면 단재로 657
1070,충청북도,청주시,상당구,문의면 문의시내로 1,충북청,청주상당,문의,파출소,043-280-1707,충청북도 청주시 상당구 문의면 문의시내로 1 ,충청북도 청주시 상당구 문의면 문의시내로 1 ,244498.0,334847.0,정좌표,43111350221021118,새주소,충청북도 청주시 상당구 문의면 문의시내로 1,충청북도 청주시 상당구 문의면 미천리 211-10,282080,43111350000,문의면,43111350220,문의면 미천리,충청북도 청주시 상당구 문의면 문의시내로 1
1071,충청북도,청주시,상당구,남일면 보청대로 4761,충북청,청주상당,가덕,파출소,043-280-1705,충청북도 청주시 상당구  남일면 보청대로 4761,충청북도 청주시 상당구  남일면 보청대로 4761,248395.0,340170.0,정좌표,43111340261004218,새주소,충청북도 청주시 상당구 남일면 보청대로 4761,충청북도 청주시 상당구 남일면 두산리 42,281900,43111340000,남일면,43111340260,남일면 두산리,충청북도 청주시 상당구 남일면 보청대로 4761
1072,충청북도,청주시,청원구,중앙로 202,충북청,청주청원,내덕,지구대,043-251-1701, 충청북도 청주시 청원구  중앙로 202 내덕지구대,충청북도 청주시 청원구  중앙로 202 내덕지구대,243566.0,350543.0,정좌표,43114102001021618,새주소,충청북도 청주시 청원구 중앙로 202,충청북도 청주시 청원구 내덕동 216-13,284790,43114520000,내덕1동,43114102000,내덕동,충청북도 청주시 청원구 중앙로 202
1073,충청북도,청주시,서원구,1순환로 690,충북청,청주청원,사창,지구대,043-251-1703, 충청북도 청주시 서원구  1순환로 690 사창지구대,충청북도 청주시 서원구  1순환로 690 사창지구대,241146.0,347965.0,정좌표,43112102001049418,새주소,충청북도 청주시 서원구 1순환로 690,충청북도 청주시 서원구 사창동 494,286430,43112530000,사창동,43112102000,사창동,충청북도 청주시 서원구 1순환로 690
1074,충청북도,청주시,청원구,율량로3번길 41,충북청,청주청원,율량,지구대,043-251-1705, 충청북도 청주시 청원구  율량로3번길 41 율량지구대,충청북도 청주시 청원구  율량로3번길 41 율량지구대,243344.0,352458.0,정좌표,43114106001088618,새주소,충청북도 청주시 청원구 율량로3번길 41,충청북도 청주시 청원구 주중동 886,283230,43114550000,오근장동,43114106000,주중동,충청북도 청주시 청원구 율량로3번길 41
1075,충청북도,청주시,청원구,오창읍 오창공원로 311,충북청,청주청원,서오창,지구대,043-251-1715, 충청북도 청주시 청원구 오창읍 양청리 753 서오창지구대,충청북도 청주시 청원구 오창읍 양청리 753 서오창지구대,237873.0,357113.0,정좌표,43114253451075318,구주소,충청북도 청주시 청원구 오창읍 오창공원로 311,충청북도 청주시 청원구 오창읍 양청리 753,281200,43114253000,오창읍,43114253450,오창읍 양청리,충청북도 청주시 청원구 오창읍 오창공원로 311
1076,충청북도,청주시,청원구,오창읍 2산단로 113,충북청,청주청원,오창,지구대,043-251-1707, 충청북도 청주시 청원구 오창읍 2산단로 113 오창지구대,충청북도 청주시 청원구 오창읍 2산단로 113 오창지구대,240056.0,359119.0,정좌표,43114253321057418,새주소,충청북도 청주시 청원구 오창읍 2산단로 113,충청북도 청주시 청원구 오창읍 주성리 574,281170,43114253000,오창읍,43114253320,오창읍 주성리,충청북도 청주시 청원구 오창읍 2산단로 113
1077,충청북도,청주시,청원구,내수읍 청암로 100-6,충북청,청주청원,내수,파출소,043-251-1709, 충청북도 청주시 청원구 내수읍 청암로 100-6 내수파출소,충청북도 청주시 청원구 내수읍 청암로 100-6 내수파출소,248191.0,358279.0,정좌표,43114250411014918,새주소,충청북도 청주시 청원구 내수읍 청암로 100-6,충청북도 청주시 청원구 내수읍 학평리 149-27,281450,43114250000,내수읍,43114250410,내수읍 학평리,충청북도 청주시 청원구 내수읍 청암로 100-6
1078,충청북도,충주시,연수서편2길,8,충북청,충주,연수,지구대,043-852-1113,충청북도 충주시  연수서편2길 8,충청북도 충주시  연수서편2길 8,282761.0,387958.0,정좌표,43130118001070818,새주소,충청북도 충주시 연수서편2길 8,충청북도 충주시 연수동 708-8,273470,43130630000,연수동,43130118000,연수동,충청북도 충주시 연수서편2길 8
1079,충청북도,충주시,중앙로,109,충북청,충주,중앙,지구대,043-843-0021,충청북도 충주시  중앙로 109 중앙지구대,충청북도 충주시  중앙로 109 중앙지구대,283242.0,386016.0,정좌표,43130101001013818,새주소,충청북도 충주시 중앙로 109,충청북도 충주시 성내동 138,273890,43130515000,성내.충인동,43130101000,성내동,충청북도 충주시 중앙로 109
1080,충청북도,충주시,대소원면,대소원로 134,충북청,충주,서충주,지구대,043-846-0112,충청북도 충주시 대소원면 대소원로 134,충청북도 충주시 대소원면 대소원로 134,272909.0,386234.0,정좌표,43130335211015318,새주소,충청북도 충주시 대소원면 대소원로 134,충청북도 충주시 대소원면 대소리 153-2,274720,43130335000,대소원면,43130335210,대소원면 대소리,충청북도 충주시 대소원면 대소원로 134
1081,충청북도,충주시,중원대로,3394,충북청,충주,호암,지구대,043-843-0024,충청북도 충주시  중원대로 3394 호암지구대,충청북도 충주시  중원대로 3394 호암지구대,282167.0,385781.0,정좌표,43130127001204918,새주소,충청북도 충주시 중원대로 3394,충청북도 충주시 문화동 2049,274100,43130571000,문화동,43130127000,문화동,충청북도 충주시 중원대로 3394
1082,충청북도,충주시,엄정면,내창로 179,충북청,충주,엄정,파출소,043-852-7112,충청북도 충주시 엄정면 내창로 179,충청북도 충주시 엄정면 내창로 179,281207.0,398661.0,정좌표,43130420211047218,새주소,충청북도 충주시 엄정면 내창로 179,충청북도 충주시 엄정면 용산리 472-4,273130,43130420000,엄정면,43130420210,엄정면 용산리,충청북도 충주시 엄정면 내창로 179
1083,충청북도,충주시,앙성면,가곡로 1029,충북청,충주,앙성,파출소,043-855-7112,충청북도 충주시 앙성면 가곡로 1029,충청북도 충주시 앙성면 가곡로 1029,266897.0,400980.0,정좌표,43130370211047918,새주소,충청북도 충주시 앙성면 가곡로 1029,충청북도 충주시 앙성면 용포리 479-26,273030,43130370000,앙성면,43130370210,앙성면 용포리,충청북도 충주시 앙성면 가곡로 1029
1084,충청북도,충주시,금가면,강수로 351,충북청,충주,금가,파출소,043-853-6112,충청북도 충주시 금가면 강수로 351,충청북도 충주시 금가면 강수로 351,282408.0,393909.0,정좌표,43130390301013318,새주소,충청북도 충주시 금가면 강수로 351,충청북도 충주시 금가면 도촌리 133-11,274420,43130390000,금가면,43130390300,금가면 도촌리,충청북도 충주시 금가면 강수로 351
1085,충청북도,충주시,수안보면,온천중앙길 6,충북청,충주,수안보,파출소,043-846-0030,충청북도 충주시 수안보면 온천중앙길 6,충청북도 충주시 수안보면 온천중앙길 6,288220.0,372278.0,정좌표,43130325211029518,새주소,충청북도 충주시 수안보면 온천중앙길 6,충청북도 충주시 수안보면 온천리 295-5,274970,43130325000,수안보면,43130325210,수안보면 온천리,충청북도 충주시 수안보면 온천중앙길 6
1086,충청북도,충주시,중앙탑면,중앙탑길 251,충북청,충주,중앙탑,파출소,043-855-3212,충청북도 충주시 중앙탑면 중앙탑길 251,충청북도 충주시 중앙탑면 중앙탑길 251,276162.0,392299.0,정좌표,43130385211017918,새주소,충청북도 충주시 중앙탑면 중앙탑길 251,충청북도 충주시 중앙탑면 탑평리 179-8,274470,43130385000,중앙탑면,43130385210,중앙탑면 탑평리,충청북도 충주시 중앙탑면 중앙탑길 251
1087,충청북도,제천시,용두천로,318,충북청,제천,청전,지구대,043-641-8730,충청북도 제천시  용두천로 318,충청북도 제천시  용두천로 318,308140.0,406403.0,정좌표,43150113001064418,새주소,충청북도 제천시 용두천로 318,충청북도 제천시 청전동 644-1,271480,43150590000,청전동,43150113000,청전동,충청북도 제천시 용두천로 318
1088,충청북도,제천시,독순로,77,충북청,제천,중앙,지구대,043-641-8720,충청북도 제천시  독순로 77,충청북도 제천시  독순로 77,307592.0,404795.0,정좌표,43150107001008818,새주소,충청북도 제천시 독순로 77,충청북도 제천시 중앙로2가 88-7,271730,43150528000,중앙동,43150107000,중앙로2가,충청북도 제천시 독순로 77
1089,충청북도,제천시,청풍호로,79,충북청,제천,강저,지구대,043-641-8710,충청북도 제천시  청풍호로 79,충청북도 제천시  청풍호로 79,306773.0,403148.0,정좌표,43150110001217318,새주소,충청북도 제천시 청풍호로 79,충청북도 제천시 영천동 2173,272000,43150547000,영서동,43150110000,영천동,충청북도 제천시 청풍호로 79
1090,충청북도,제천시,청풍면,청풍호로 2119,충북청,제천,청풍,파출소,043-641-8760,충청북도 제천시 청풍면 청풍호로 2119,충청북도 제천시 청풍면 청풍호로 2119,303867.0,389395.0,정좌표,43150320411013318,새주소,충청북도 제천시 청풍면 청풍호로 2119,충청북도 제천시 청풍면 물태리 133-5,272140,43150320000,청풍면,43150320410,청풍면 물태리,충청북도 제천시 청풍면 청풍호로 2119
1091,충청북도,제천시,덕산면,약초로 85,충북청,제천,덕산,파출소,043-641-8770,충청북도 제천시 덕산면 약초로 85,충청북도 제천시 덕산면 약초로 85,303810.0,379325.0,정좌표,43150340211036318,새주소,충청북도 제천시 덕산면 약초로 85,충청북도 제천시 덕산면 도전리 363-1,272230,43150340000,덕산면,43150340210,덕산면 도전리,충청북도 제천시 덕산면 약초로 85
